campaign_id,sender,subject_len,body_len,mean_paragraph_len,day_of_week,is_weekend,times_of_day,category,Product,no_of_CTA,mean_CTA_len,is_image,is_personalised,is_quote,is_timer,is_emoticons,is_discount,is_price,is_urgency,target_audience,click_rate
1,3,76,10439,39,5,1,Noon,6,26,3,29,0,0,0,0,0,0,0,0,14,0.103078982597055
2,3,54,2570,256,5,1,Morning,2,11,0,22,0,0,0,0,0,0,0,0,10,0.7
3,3,59,12801,16,5,1,Noon,2,11,3,23,1,0,1,0,0,0,0,0,16,0.00276890873199878
4,3,74,11037,30,4,0,Evening,15,9,4,24,0,0,0,0,0,0,0,0,10,0.0108677632669602
5,3,80,10011,27,5,1,Noon,6,26,3,31,0,0,1,0,0,0,0,0,14,0.142826228089158
6,3,54,2569,256,4,0,Evening,2,11,0,22,0,0,0,0,0,0,0,0,10,0.5
7,3,54,2570,256,4,0,Evening,2,11,0,22,0,0,0,0,0,0,0,0,10,0.457142857142857
8,3,60,12117,17,4,0,Noon,6,26,4,34,1,0,1,0,0,0,0,0,14,0.166998011928429
9,3,89,10055,14,4,0,Noon,6,26,3,34,1,0,0,0,0,0,0,0,13,0.0292331055429005
10,3,89,11049,26,3,0,Evening,15,9,4,28,0,0,0,0,0,0,0,0,6,0.00305766651765758
11,3,77,7552,36,3,0,Noon,6,26,2,35,2,0,0,0,0,0,0,0,14,0.117599569429494
12,3,78,10473,26,3,0,Noon,6,26,2,22,1,0,0,0,0,0,0,0,14,0.225626740947075
13,3,82,9587,33,2,0,Evening,15,9,2,27,1,0,0,0,0,0,0,0,15,0.00646342777119466
14,3,86,14787,19,2,0,Evening,2,11,9,29,1,0,1,0,0,0,0,0,16,0.00667682825806024
15,3,91,9407,32,2,0,Noon,6,26,8,17,2,0,1,0,0,0,0,0,16,0.0146100096954298
16,3,78,10473,26,2,0,Noon,6,26,2,22,1,0,0,0,0,0,0,0,14,0.206349206349206
17,3,78,9020,29,2,0,Noon,6,26,2,40,0,0,0,0,0,0,0,0,14,0.133638074751277
18,3,83,9400,27,1,0,Noon,6,26,8,19,2,0,1,0,0,0,0,0,16,0.00966695867336745
19,3,71,11334,36,0,0,Evening,15,9,4,31,1,0,1,0,0,0,0,0,12,0.00541795665634675
20,3,71,11334,36,0,0,Evening,15,9,4,31,1,0,1,0,0,0,0,0,15,0.00303132367800606
21,3,78,10473,26,0,0,Evening,6,26,2,22,1,0,0,0,0,0,0,0,14,0.19811320754717
22,3,57,7768,22,5,1,Noon,2,11,0,26,0,0,0,0,0,0,0,0,14,0.405204460966543
23,3,70,8683,44,4,0,Evening,15,9,2,28,1,0,0,0,0,0,0,0,0,0.00126134190503316
24,3,69,9455,27,5,1,Noon,2,11,2,22,1,0,0,0,2,0,0,0,14,0.0169016373461179
25,3,78,10473,26,4,0,Evening,6,26,2,22,1,0,0,0,0,0,0,0,14,0.189795918367347
26,3,93,9400,27,0,0,Noon,6,26,8,19,2,0,1,0,0,0,0,0,4,0.0137186096550131
27,3,42,6802,46,3,0,Evening,6,10,3,15,0,0,0,0,0,0,0,0,14,0.00648202710665881
28,3,60,9206,51,2,0,Noon,2,11,6,41,0,0,1,0,0,0,0,0,10,0.0040348300772848
29,3,85,9840,22,3,0,Evening,6,26,5,31,0,0,0,0,0,0,0,0,11,0.00305117252201203
30,3,80,11655,22,0,0,Evening,2,11,5,35,0,0,1,0,0,0,0,0,16,0.00615557885743136
31,3,104,9882,48,0,0,Evening,15,9,2,34,1,0,0,0,0,0,0,0,16,0.00576900100701497
32,3,86,13407,24,5,1,Noon,2,11,5,22,2,0,0,0,0,0,0,0,10,0.0664136622390892
33,3,124,11455,27,4,0,Evening,15,9,3,47,0,0,0,0,0,0,5499,0,12,0.00675311964766332
34,3,80,11655,22,4,0,Evening,2,11,5,35,0,0,1,0,0,0,0,0,16,0.00608110829205429
35,3,81,9767,20,4,0,Noon,6,26,5,31,0,0,0,0,0,0,0,0,4,0.0100771778216809
36,3,76,11147,34,3,0,Evening,2,11,4,25,1,0,0,0,0,0,0,0,11,0.00631461106543756
37,3,76,11147,34,2,0,Evening,2,11,4,25,1,0,0,0,0,0,0,0,1,0.00661446057933551
38,3,80,12527,37,2,0,Evening,15,9,4,33,1,0,0,0,0,0,0,0,16,0.00395837156263926
39,3,77,12527,37,1,0,Evening,15,9,4,33,1,0,0,0,0,0,0,0,12,0.00582904436303229
40,3,81,9758,20,2,0,Noon,6,26,4,28,0,0,0,0,0,0,0,0,5,0.00820114914305358
41,3,76,11147,34,1,0,Evening,2,11,5,25,0,0,0,0,0,0,0,0,10,0.00551714601769911
42,3,88,9054,46,0,0,Evening,15,9,3,28,1,0,0,0,0,0,0,0,10,0.00698548033091339
43,3,73,10273,32,4,0,Evening,15,9,3,23,0,0,1,0,0,0,0,0,16,0.00342633983396375
44,3,65,11613,25,4,0,Evening,2,11,4,38,2,0,2,0,0,0,0,0,16,0.00483925654224332
45,3,87,14431,35,3,0,Evening,15,9,5,23,0,0,0,0,0,0,0,0,16,0.00636544472861609
46,3,73,11486,42,2,0,Noon,2,11,4,27,2,0,1,0,0,0,0,0,7,0.00329713650861914
47,3,97,10492,39,1,0,Evening,15,9,3,25,1,0,2,0,0,0,0,0,0,0.00674231211971715
48,3,57,6916,50,1,0,Noon,6,10,3,24,2,0,0,0,0,0,0,0,14,0.0148629818857408
49,3,73,11486,42,1,0,Noon,2,11,4,27,2,0,1,0,0,0,0,0,10,0.00631578947368421
50,3,85,9717,30,4,0,Evening,15,9,2,23,0,0,0,0,2,0,0,0,16,0.00337203140806397
51,3,91,15400,18,3,0,Evening,15,9,6,26,1,0,0,0,0,0,0,0,16,0.0128162140009687
52,3,97,10492,39,2,0,Evening,15,9,3,25,1,0,2,0,0,0,0,0,10,0.00853431109144356
53,3,104,9183,32,1,0,Evening,15,9,3,27,0,0,0,0,0,0,0,0,10,0.0047360248447205
54,3,90,6759,41,1,0,Evening,1,5,0,22,2,0,0,0,0,0,0,0,10,0.0145383104125737
55,3,78,21927,13,0,0,Evening,15,13,9,28,2,0,0,0,0,0,0,1,12,0.00374179477859266
56,3,103,20312,17,5,1,Noon,15,13,5,24,1,0,1,0,0,0,0,1,12,0.00407531903501205
57,3,85,9717,30,5,1,Noon,15,9,2,23,0,0,0,0,2,0,0,0,16,0
58,3,91,11179,32,4,0,Evening,15,9,2,25,1,0,1,0,1,0,0,0,16,0.00986985762948729
59,3,79,5805,88,4,0,Evening,15,12,3,20,1,0,0,0,0,0,0,0,2,0.00137111517367459
60,3,82,5690,86,4,0,Evening,15,6,3,23,0,0,1,0,0,0,0,0,2,0.00134548201302993
61,3,79,6810,45,4,0,Noon,1,5,0,23,2,0,0,0,0,0,0,0,10,0.00929114417516731
62,3,79,6812,44,4,0,Noon,1,5,0,23,2,0,0,0,0,0,0,0,3,0.00913174755136608
63,3,80,5769,88,4,0,Evening,15,1,3,20,1,0,0,0,0,0,0,0,2,0.00174680518525329
64,3,67,5700,81,4,0,Evening,15,31,3,26,1,0,0,0,0,0,0,0,2,0.00448649971449547
65,3,92,16393,23,3,0,Evening,1,5,3,19,2,0,1,0,0,0,0,0,16,0.00130738459133574
66,3,92,16399,23,2,0,Evening,1,5,2,24,2,0,1,0,0,0,0,0,3,0.008838734782367
67,3,92,16399,23,2,0,Evening,1,5,2,24,2,0,1,0,0,0,0,0,10,0.00698261773882038
68,3,87,22813,18,2,0,Evening,15,13,11,29,2,0,1,0,1,0,0,0,15,0.00265065986003394
69,3,98,21569,20,1,0,Evening,15,13,11,29,2,0,0,0,1,1,0,0,16,0
70,3,25,1951,160,1,0,Evening,7,27,0,12,1,0,0,0,0,0,0,0,12,0.0671834625322997
71,3,74,9602,23,1,0,Evening,1,5,3,22,0,0,1,0,0,0,0,1,14,0.0352480417754569
72,3,100,10176,32,0,0,Evening,1,5,1,21,2,0,1,0,0,0,0,0,10,0.011228354978355
73,3,98,21569,20,1,0,Noon,15,13,11,29,2,0,0,0,1,1,0,0,12,0.00478124023930228
74,10,90,20720,18,5,1,Noon,1,5,8,34,0,0,0,0,0,0,0,0,16,0.00341880341880342
75,3,87,11237,22,4,0,Evening,15,9,4,38,0,0,0,0,0,0,5499,1,12,0.00614011237991662
76,3,90,11975,25,4,0,Evening,1,5,2,21,2,0,1,0,0,0,0,0,16,0.00162701779260172
77,3,92,19214,21,3,0,Evening,15,9,3,29,1,0,1,0,0,0,0,1,12,0.00140630629583571
78,3,88,12588,30,3,0,Evening,1,5,12,34,0,0,0,0,0,0,0,0,10,0.00206788966417956
79,3,94,13412,38,2,0,Evening,15,9,3,32,0,0,0,0,0,0,0,1,16,0.00623634608545445
80,3,116,10644,43,1,0,Evening,15,9,3,27,0,0,0,0,1,0,0,0,15,0.00370138017565872
81,3,63,9599,23,1,0,Evening,1,5,3,22,0,0,1,0,0,0,0,1,14,0.0527009222661397
82,3,83,7847,25,2,0,Evening,1,5,0,31,0,0,1,0,0,0,0,0,12,0.192139737991266
83,3,110,10593,42,0,0,Evening,15,9,3,27,0,0,0,0,1,0,0,0,16,0.00539625255488186
84,3,83,15098,16,0,0,Evening,1,5,6,31,2,0,0,0,1,0,0,0,10,0.00467704444600972
85,3,40,1645,111,0,0,Morning,6,10,1,13,0,0,0,0,1,0,0,0,14,0.0316549819417888
86,3,68,9604,23,5,1,Morning,1,5,3,22,0,0,1,0,0,0,0,1,14,0.0498442367601246
87,3,88,12588,30,5,1,Morning,1,5,11,32,0,0,0,0,0,0,0,0,10,0.010536469540699
88,3,88,12588,30,5,1,Noon,1,5,12,34,0,0,0,0,0,0,0,0,16,0.00357595828635851
89,3,85,8424,18,6,1,Evening,1,5,3,23,2,0,1,0,0,0,0,1,14,0.213433772755807
90,3,83,7094,22,6,1,Morning,1,5,3,19,1,0,1,0,0,0,0,0,12,0.205111821086262
91,3,88,5727,30,5,1,Noon,1,5,3,22,2,0,0,0,0,0,0,0,12,0.190604026845638
92,3,64,10849,26,3,0,Evening,1,5,4,21,1,0,1,0,0,0,0,0,1,0.00244728915662651
93,3,94,15119,24,3,0,Evening,1,5,8,29,1,0,1,0,0,0,0,0,10,0.00338172072023456
94,3,90,13392,24,3,0,Evening,1,5,2,21,2,0,1,0,0,0,0,0,10,0.00684203226850354
95,3,80,18718,11,3,0,Evening,15,13,9,33,1,0,1,0,1,0,0,1,12,0.00362567981496531
96,3,86,19046,16,2,0,Evening,1,5,5,19,1,0,1,0,0,0,0,0,16,0.00138886564816519
97,3,84,1703,112,2,0,Noon,6,10,1,55,2,0,0,0,0,0,0,0,12,0.0303030303030303
98,3,71,9603,23,2,0,Evening,1,5,3,22,0,0,1,0,0,0,0,0,14,0.0418848167539267
99,3,86,19052,16,1,0,Evening,1,5,4,21,1,0,1,0,0,0,0,0,10,0.00623359580052493
100,3,86,19046,16,1,0,Evening,1,5,5,19,1,0,1,0,0,0,0,0,16,0.00203901311765106
101,3,86,19046,16,0,0,Evening,1,5,5,19,1,0,1,0,0,0,0,0,8,0.00305147765882428
102,3,74,17217,18,5,1,Noon,1,5,4,24,1,0,1,0,0,0,0,0,10,0.00814641223077782
103,3,77,15687,18,5,1,Noon,1,5,9,25,1,0,0,0,0,0,0,0,16,0.00244226241170282
104,3,91,11179,32,4,0,Evening,15,9,2,25,1,0,1,0,1,0,0,0,10,0.00745311748677673
105,3,77,15687,18,4,0,Evening,1,5,9,25,1,0,0,0,0,0,0,0,16,0.00456651593814548
106,3,62,9603,23,3,0,Evening,1,5,3,22,0,0,1,0,0,0,0,1,14,0.0553435114503817
107,3,90,11282,38,1,0,Evening,15,9,3,25,1,0,1,0,2,0,0,0,15,0.00874527532794783
108,3,84,12519,27,1,0,Evening,15,6,5,33,0,0,0,0,0,0,0,1,12,0.00507668465772458
109,3,77,15687,18,3,0,Evening,1,5,9,20,1,0,0,0,0,0,0,0,7,0.00298664792691497
110,3,74,17353,15,1,0,Noon,10,42,7,30,0,0,0,0,2,0,0,0,8,0.00459040019215629
111,3,80,7775,22,1,0,Evening,10,42,0,31,0,0,1,0,0,0,0,0,14,0.163179916317992
112,3,80,17347,15,0,0,Evening,1,5,7,30,0,0,0,0,1,0,0,0,7,0.00489972346766182
113,3,75,11938,30,6,1,Evening,15,12,3,26,0,0,1,0,0,0,0,0,12,0.00235783336548561
114,3,118,17996,22,6,1,Evening,10,42,4,30,2,0,0,0,1,0,0,0,16,0.00118878256971917
115,3,94,12274,18,6,1,Noon,15,6,4,24,1,0,0,0,0,0,0,1,12,0.00448000479465396
116,3,60,10492,39,2,0,Evening,15,9,3,25,1,0,2,0,0,0,0,0,16,0.00328225553650126
117,3,96,10229,34,3,0,Noon,1,5,2,18,1,0,2,0,0,0,0,0,10,0.00498555035405858
